Gene	interactors
ACAT1	ACAA2, ACAP2, ACAT2, ACO2, ATP1B1, ATP1B3, CANX, CSE1L, CYCS, DDB1, DLD, DUS3L, EEF1A1, EHBP1, ERCC1, ERCC2, EWSR1, FAM187B, FASTKD3, FLOT1, FOXM1, FUS, GCN1L1, ILF2, ILVBL, MAG, MARS, MAT1A, MPP2, NDUFS1, PDP1, PEX7, PTBP1, RTN4R, SAFB, SDHA, SDHB, SFPQ, SFXN1, SFXN3, SIGMAR1, SLC25A10, SMPD3, SSBP1, TIMM44, TMEM65, TOMM7, TOPBP1, TRMT61B, TTF2, TUBB1, UBAP2L, UBIAD1, UGT3A2, UQCRB, UQCRC1, UQCRFS1, UQCRQ
ACAT2	ACAT1, AHCY, CDX2, CSNK2A1, CSNK2A3, DAK, GSG1, HADH, HNF4A, HSPE1, MLST8, PABPC1, PAPSS1, PCBP1, PCBP2, PFDN4, PRRC1, PSAT1, SMEK1, SPR, SSU72, TMBIM6, TRAPPC8, TTC39C, UBA3, UBE2L3, UBXN1, VASP, YWHAE
ACBD3	CUL3, DUS3L, EFTUD2, ERRFI1, GOLGA3, GOLGB1, GORASP2, GTF2E1, HARS, KDM2B, LRFN4, PAK2, PI4KB, PKN2, PPIE, RPUSD2, SARS, SLC35A1, SNF8, SRSF2, TBC1D22A, TBC1D22B, TBCD, TGOLN2, WDR12
ACBD4	KIF9, VAPB
ACBD5	CNGA3, GRM2, NECAB2, VAPA, VAPB, ZFPL1
ACBD6	NMT1, NMT2
ACBD7	ACOX1, FYN, HPCAL1, OGDHL, SLK, SUGP1, YES1
ACCS	ALB, DYRK2, FBF1, GNPDA1, GPI, UQCRB, VN1R4
ACD	BRCA1, MDC1, OBFC1, POT1, TERF1, TERF2, TERF2IP, TERT, TINF2, TP53BP1, UPF1, USP7
ACE	ACE, ACTB, AGT, BDKRB2, COMT, CSNK2A1, CSNK2A3, DCP1A, DCP2, DDX6, EDC3, HSPA1L, MYH9, NSMAF, UPF2
