,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Whole Blood_GTExTPM,humanScore_Exomiser,mouseScore_Exomiser,fishScore_Exomiser,ppiScore_Exomiser,Pituitary_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,HIPred,pLI_ExAC,SDI,GDI_Score,RVIS_Score,SignalValue_H3k4me1_median,CNVs_ExAC,SignalValue_H3k4me3_median,label_encoded
229,0.20228,4.71952,1.95006,0.843302,2.42779,2.11452,0.517213,0.57041,0.594679,0.814818,14.5682,0.303964,0.556235186,0.0,0.0,0.0,0.924255,6921.5,0.45048,0.120849,0.106101,0.309100866,0.0350306078051602,3.92083295,8.73654,-0.69,8.46485,2.0,11.54504245,2
230,9.22665,27.3585,332.028,119.447,127.563,77.2235,5.34629,29.5871,71.8125,24.9346,33.6985,18.2392,0.845154255,0.0,0.0,0.0,64.2761,74.6985,23.0163,1.68263,20.39,0.146139458,3.8968187506163296e-11,2.32162457,269.5604,-0.31,5.96149,3.0,12.4183,1
231,0.0996005,11.8876,0.652257,1.7779,0.584743,0.716497,4.12541,1.70553,0.890658,0.664467,1.94553,0.0715644,0.467837601,0.0,0.0,0.0,1.55916,3.33105,0.143215,1.52727,0.872478,0.363577336,3.60155144475408e-06,2.76362407,111.70148,-0.4,6.84443,11.0,5.27231,2
232,0.70366,0.589073,0.386975,0.75496,1.27963,2.25507,0.8777,0.411671,0.425149,0.221391,2.47911,0.0206106,0.0,0.0,0.0,0.0,13.9369,0.830208,13.5034,0.0198926,0.180316,0.745084822,0.754693330684111,3.9058828,37.47727,-0.32,10.3414,4.0,12.5341,2
233,0.0,6.93224,98.2635,0.0320626,0.0157746,0.0,0.0342699,0.743744,13.515,0.04738,1.26267,0.0859107,0.0,0.0,0.0,0.0,0.00985008,0.0,0.0511808,0.290007,0.0,0.111908376,3.5204458921563594e-11,4.89948175,3587.43946,0.27,7.014679700000003,62.0,23.806355250000003,2
234,0.0918231,11.0999,144.927,2.95143,2.06351,0.110227,0.141602,5.64443,6.76924,9.68238,0.681157,35.2458,0.0,0.0,0.0,0.0,0.803381,0.202704,0.261816,0.855186,0.0233699,0.1311391,6.83107684815361e-14,2.97111404,756.59048,0.25,7.779067099999999,11.99,14.038434299999995,2
235,0.0178166,0.0237411,2.61173,0.0932861,0.386232,0.0920734,0.0125202,0.103638,0.0588619,0.286423,0.318687,0.0179066,0.0,0.0,0.0,0.0,0.0267355,0.0369972,0.0169195,0.0,0.0269244,0.295108467,0.0034553612227685,2.89366853,166.85402,0.09,7.7570492500000015,2.0,12.589866549999993,2
236,13.8857,9.08204,2.35173,36.4246,63.6574,26.6066,4.53319,29.0663,22.2517,16.3773,40.7398,2.17243,0.0,0.0,0.0,0.0,17.0709,11.6782,11.4735,18.4323,68.7323,0.684573174,0.356369422651745,7.95926253,22.98729,-0.54,7.87313,6.0,15.2083,2
237,1.56421,1.50238,0.323482,5.09775,5.82973,1.7364,4.50624,1.36297,4.56654,3.74319,6.49669,0.280753,0.0,0.0,0.0,0.0,7.19866,2.80988,6.43024,0.0688307,4.18398,0.654521644,0.953148342492449,3.94669095,278.59856,-0.57,6.85613,1.0,10.2066,2
239,123.66,164.062,175.48,127.721,118.205,59.9612,30.4933,249.417,105.139,68.1599,186.307,17.2477,0.0,0.0,0.0,0.0,50.1491,78.0492,170.878,373.747,188.329,0.14374274,0.0001642603370736,2.8936815,1161.87674,0.6026999999999998,7.15087,4.0,31.1235,2
240,12.49,22.0057,1.53856,35.6646,73.3753,53.1749,7.26005,27.1939,19.224,17.7107,45.7236,8.13747,0.0,0.0,0.0,0.0,64.8552,7.09587,28.9706,11.4753,138.426,0.579714477,0.962685618555225,8.71419635,845.8418,-0.09,9.58024,6.0,13.689,2
243,7.15603,8.7532,3.79571,18.81,40.4249,35.3391,8.34086,14.695,19.1425,15.8084,18.446,1.9613,0.0,0.0,0.0,0.0,24.555,13.3468,17.3552,24.1326,18.9854,0.443194807,3.09639823750121e-08,5.70477098,1643.59444,-0.15,7.09224,5.0,26.5409,2
