wgEncodeBroadHmmHuvecHMM.count,GDI_Score,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,RVIS_Score,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Ovary_GTExFC,Artery_Coronary_GTExFC
1,77.4528,15.3997,37.0926,28.5401,0.887688063,0,0,0.591572225,1.99992492,-0.10818,8.80361,-1.27913,-0.1,-0.089613,0.125859,0.122532,-0.134251,0.550032,-0.789694,0.115473,-0.439646,0.076775,-0.385079,0.540423,0.608991
48,8.97171,0,0,0,0.011809335,0,0.040406987,0.123297259,2.035345479,-1.3252305,8.59309075,-0.90917267,0.59,0.27923846,-0.81212767,-0.17515841,-0.47453526,-0.43074546,-1.31230216,-0.34099561,-0.37563547,-0.22101887,0.24203286,-2.81086809,0.13645583
74,139.19509,18.3139143,9.89806082,23.9394242,0.044714243,0,0.00894081,0.660857785,5.143324244,-0.01051584,8.3353872,0.02271786,-0.2718,0.04569703,0.0246318,0.0432256,-0.0193605,-0.06322081,-0.0196096,-0.14598976,0.03149279,0.0426695,0.02887777,0.01440881,0.06386878
1396,796.35554,22.1231051,11.0315087,34.1525031,0.109850631,0,0.024673898,0.630970316,5.624213723,0.00032413,8.8830167,-0.19264714,-0.1935,0.03968877,0.01726577,0.01966926,-0.02182351,-0.07813071,-0.03252656,-0.12535362,-0.01386005,0.00194551,0.0116987,-0.08610267,0.04821267
30,0.63842,0.990711,0.0872401,0.794476,0,0,0,0.671651253,4.648278185,0.412115,8.4998688,-0.305947,-0.4944,-1.955792,-0.512271,-1.720674,0.493944,0.399804,-6.643856,-2.0353,-0.244723,-0.254595,0.547539,-0.227874,0.919909
30,1608.73768,12.9306,7.68865,111.665,0,0,0,0.824708164,4.62746682,-0.223103,8.69533,0.466295,-3.18,0.432819,-0.571829,0.584397,0.334907,0.078556,-0.210985,0.404068,0.398923,0.06508,0.230603,0.554364,0.158725
672,499.50349,0.853388,0.191411,110.288,0,0,0,0.146139458,8.91291128,-0.512799,1.77023,2.504432,-0.77,-1.821846,0.943332,1.44946,1.060052,-6.643856,-1.860065,3.226119,-0.75615,-0.841774,0.689471,1.025626,-1.328624
2,4755.60752,87.6854,21.3464,3.21316,0.528793336,0,0,0.747131348,12.88289324,0.334087,10.1219,1.016221,-2.23,-6.643856,0.478139,-0.530704,-0.75659,-0.053586,3.37708,-0.559994,0.440294,0.606835,-0.313727,0.475594,0.809587
192,218.27707,429.555,422.046,135.061,0.913254607,0,0,0.848568261,1.86907763,-1.397957,13.7423,-0.402815,-0.4548,0.18861,-3.749093,-0.651049,0.858855,0.433327,0.750934,-6.643856,1.105798,0.148518,0.875719,-0.739352,0.529133
765,747.20557,16.8669,1.52907,7.74557,0.887688063,0,0,0.449802697,6.87802251,0.54222,10.4073,0.505017,-0.21,0.76774,-6.643856,-6.643856,1.677239,-0.298273,0.503704,0.83232,-0.953853,1.236038,0.364163,1.683997,-2.067062
94,6.56136,9.72749,1.03118,6.46399,0,0,0,0.800036311,1.74820254,0.325016,8.14156,-0.265829,-0.38,-1.863382,-0.391565,-1.071216,0.250259,0.385649,-2.259522,-0.748222,-0.306446,-0.101558,0.238272,-0.572743,0.344918
19,2847.71785,10.9969,5.06819,7.05866,0,0,0.615881762,0.708682775,1.98608503,0.099582,6.46206,0.200568,-0.72,-0.351583,0.160309,0.19721,0.206156,0.165714,0.214979,0.180802,0.099726,0.140994,0.185824,0.160517,-0.258667
