,IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Minor Salivary Gland_GTExTPM,Pituitary_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,pLI_ExAC,HIPred,SDI,Testis_GTExFC
116,0.0,0.0,155.0,41.67691,0.4123,7.31625,9.7685,14.9786,0.07735729208,0.0,0.0,0.0009166338528935,0.636561334,5.327716031099999,0.450478
117,0.0,0.0,12.0,13.11329,-0.2142,151.2795185000001,117.129415,70.12740442,0.0,0.0,0.0,0.0262294918736351,0.146139458,0.0,-0.05983363
118,0.0,0.0,49.0,796.87118,0.2219,5.4701900000000006,1.3168,2.41589,0.0,0.0,0.0,8.496970031e-07,0.146511853,12.72102078,0.413555
119,0.0,0.0,10.0,16291.104180000002,0.2636,995.413,721.047,5071.19,0.0,0.0,0.869202136,0.0026646346368559997,0.328141659,10.54543118,-0.725268
120,2.0,1.0,75.0,16622.23863,0.2096,10.221,9.84807,456.036,0.0,0.0,0.0,0.166625329932453,0.186891869,12.35448238,-0.9691629999999999
121,0.0,0.0,194.0,116.32725,0.4063,208.273,159.89700000000002,4319.57,0.0,0.0,0.0,0.700164889675938,0.356269389,14.48467393,0.255432
122,1.0,1.0,286.0,91.19341999999999,0.5011,1.9650599999999998,0.5753159999999999,0.0173163,0.0,0.0,0.0,0.0015611678712012,0.19659511699999999,3.93670914,-0.9171889999999999
123,0.0,0.0,311.0,1907.06868,-0.3337,37.8057,108.38799999999999,10.9321,0.0,0.0,0.0,0.5499291779406945,0.65277530054,21.50009141,-0.496501
124,0.0,0.0,2063.0,2435.22546,0.3317,1.6218,3.45595,2.32603,0.0,0.0,0.0,2.1904091954e-06,0.39679274,6.86005273,-0.045299
125,0.0,0.0,43.0,307.12317,0.4035,33.0087,50.8541,106.24,0.0,0.0,0.0,0.9999582257138481,0.852899194,2.97639148,0.160549
126,0.0,0.0,227.0,120.59948999999999,0.5009,0.0293841,0.283548,0.0314624,0.0,0.0,0.0,0.8130064245675609,0.49458882200000004,2.91372116,0.330262
127,0.0,0.0,109.0,168.09506000000002,0.4371,0.0253718,0.8584370000000001,0.00949186,0.0,0.0,0.0,0.6487875127590239,0.72905165,5.91668299,0.585867
128,0.0,0.0,178.0,40.46933,0.5471,100.713,26.7542,186.00599999999997,0.0,0.0,0.0,0.376558105362484,0.6853213909999999,4.60912048,0.200106
129,0.0,1.0,30.0,98.37812,0.4175,5.3381300000000005,0.591827,14.241,0.8308635740000001,0.0,0.0,0.469523496452965,0.804062724,6.8125021,-0.387881
130,0.0,0.0,26.0,2102.84042,0.2496,37.6823,103.351,0.353955,0.0,0.0,0.0,0.36225190243329497,0.79961127,5.7405052,-0.25123
131,2.0,1.0,1210.0,133.86335,0.4516,4.39776,5.7234,0.24794699999999997,0.549225289,0.0,0.0,0.289669116993916,0.401833534,3.9639913,-1.7479900000000002
132,1.0,1.0,39.0,971.5298,-0.3997,17.9749,40.47,0.46357600000000004,0.742183659,0.0,0.0,0.2588481493017794,0.5803736479700002,2.98297969,0.16660999999999998
133,0.0,0.0,181.0,3832.6979100000003,-0.389,0.357435,5.29016,0.196568,0.472965166,0.0,0.0,4.07385209926e-05,0.7233242990000001,7.94127642,-0.656242
134,0.0,0.0,17.0,1818.8962800000002,0.3241,58.5598,31.1453,1.02111,0.0,0.0,0.0,0.0004800187891589,0.705665529,7.90802953,0.21851900000000002
135,0.0,0.0,167.0,537.31129,-0.4961,18.8611,12.3037,5.94623,0.494209116,0.0,0.0,0.999999615868819,0.824708164,5.85644216,0.265748
136,0.0,0.0,24.0,123.58507,0.1733,1.68295,3.86749,0.0342439,0.0,0.0,0.0,0.9825878697800309,0.7285507920000001,11.69182943,-0.2362
137,0.0,0.0,521.0,913.1814400000001,-0.4321,0.593576,53.5812,0.871866,0.44203407100000003,0.0,0.0,0.9998899952348159,0.714798927,3.81588039,0.29217
138,0.0,0.0,32.0,71.76069,0.2634,0.116347,0.543503,0.585553,0.0,0.0,0.0,0.999978751386027,0.7743014690000001,3.75626441,-0.9432219999999999
139,0.0,1.0,61.0,173.55232,0.4484,1.2856100000000001,10.7255,0.300937,0.8553976209999999,0.0,0.0,0.31472413041630604,0.714407027,14.76606971,-0.342273
140,0.0,0.0,39.0,532.76648,-0.2262,2.57764,4.0018400000000005,0.0113507,0.0,0.0,0.0,0.10684794161279303,0.36942371700000004,1.74820254,0.45974799999999993
141,0.0,1.0,1000.0,11.36951,-0.2937,0.500973,12.9208,0.0314508,0.0,0.0,0.615881762,0.15710085891278286,0.4248684370500001,2.92856602,0.646117
142,1.0,1.0,113.0,5.61975,0.5171,0.033333800000000004,1.21034,0.05908340000000001,0.0,0.0,0.0,0.126993745644894,0.565498233,2.92012308,1.6406610000000001
143,0.0,0.0,53.0,200.0252,-0.2653,0.667768,0.203706,12.3533,0.0,0.0,0.0,0.99953508656607,0.7169443959999999,4.77313532,-0.313648
144,0.0,0.0,61.0,22.584220000000002,0.3521,54.4873,78.1255,96.3996,0.0,0.0,0.0,0.991027964686515,0.745582581,6.70370701,-0.053857
145,0.0,0.0,958.0,5734.22375,-0.4264,18.8204,40.1291,25.2173,0.0,0.0,0.0,0.9999944249211049,0.571837127,3.35283215,-0.25922
146,0.0,0.0,32.0,2694.09373,-0.19399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0170721058222492,0.11190837599999999,1.98841355,2.18162
